
2015-04-18 20:58:20,656INFO [Test.one(Test.java:27)] into one method
 
2015-04-18 20:58:20,661ERROR [Test.one(Test.java:35)] / by zero
 
2015-04-18 20:58:20,661INFO [Test.one(Test.java:39)] out one method
 
2015-04-18 21:01:25,054INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 43 document
 
2015-04-18 21:02:29,556INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 43 document
 
2015-04-18 21:03:15,873INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 43 document
 
2015-04-19 11:21:15,283INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 9854 document
 
2015-04-19 11:21:27,974INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 7774 document
 
2015-04-19 11:21:39,178INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 5185 document
 
2015-04-19 11:21:49,273INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4445 document
 
2015-04-19 11:21:59,926INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4506 document
 
2015-04-19 11:22:09,719INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4443 document
 
2015-04-19 11:22:20,637INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4455 document
 
2015-04-19 11:22:31,156INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4478 document
 
2015-04-19 11:22:40,837INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4295 document
 
2015-04-19 11:22:50,868INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3115 document
 
2015-04-19 11:23:00,553INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3075 document
 
2015-04-19 11:23:09,981INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3047 document
 
2015-04-19 11:23:20,159INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3048 document
 
2015-04-19 11:23:29,863INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3079 document
 
2015-04-19 11:23:39,364INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3064 document
 
2015-04-19 11:23:52,119INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2009 document
 
2015-04-19 11:24:08,682INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 170 document
 
2015-04-19 11:24:26,826INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 144 document
 
2015-04-19 11:24:43,995INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3601 document
 
2015-04-19 11:24:53,402INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4519 document
 
2015-04-19 11:25:02,915INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3688 document
 
2015-04-19 11:25:12,243INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3083 document
 
2015-04-19 11:25:21,445INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2428 document
 
2015-04-19 11:25:30,513INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1980 document
 
2015-04-19 11:25:39,261INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1700 document
 
2015-04-19 11:25:47,771INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1344 document
 
2015-04-19 11:25:56,453INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1058 document
 
2015-04-19 11:26:04,149INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 789 document
 
2015-04-19 11:26:11,809INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 450 document
 
2015-04-19 11:26:25,124INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 5590 document
 
2015-04-19 11:26:34,644INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 5007 document
 
2015-04-19 11:26:44,205INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4511 document
 
2015-04-19 11:26:53,787INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 4542 document
 
2015-04-19 11:27:03,266INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3128 document
 
2015-04-19 11:27:12,720INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3061 document
 
2015-04-19 11:27:22,176INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3094 document
 
2015-04-19 11:27:31,325INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 3092 document
 
2015-04-19 11:27:40,211INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2550 document
 
2015-04-19 11:27:50,003INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2409 document
 
2015-04-19 11:27:59,094INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2410 document
 
2015-04-19 11:28:07,923INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 2049 document
 
2015-04-19 11:28:16,701INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1959 document
 
2015-04-19 11:28:25,718INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1959 document
 
2015-04-19 11:28:34,684INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1936 document
 
2015-04-19 11:28:43,622INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1656 document
 
2015-04-19 11:28:52,575INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1533 document
 
2015-04-19 11:29:01,036INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1341 document
 
2015-04-19 11:29:09,355INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1318 document
 
2015-04-19 11:29:17,860INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1323 document
 
2015-04-19 11:29:25,986INFO [cn.edu.hit.mitlab.informationretrieval.Index.addIndexs(Index.java:149)] add 1042 document
 
